sentence,pred_sentence,pred_sentence_tok,sentence_tok
ฉันคิดว่าฉันก็อาจจะเข้าไปข้างในทันทีเช่นกันพูดพลางก้าวเข้าไปข้างใน,ฉันคิดว่าฉันก็อาจจะเข้าไปข้างในทันทีเช่นกันพูดค้างคาวเข้าไปข้างใน,ฉัน คิด ว่า ฉัน ก็ อาจจะ เข้าไป ข้าง ในทันที เช่นกัน พูด ค้างคาว เข้าไป ข้างใน,ฉัน คิด ว่า ฉัน ก็ อาจจะ เข้าไป ข้าง ในทันที เช่นกัน พูด พลาง ก้าว เข้าไป ข้างใน
นอนลงไปและก็เล่าให้ฉันฟังสิ,นอนลงไปอยากก็เล่าให้ฉันฟังซิ,นอนลง ไป อยาก ก็ เล่า ให้ ฉัน ฟัง ซิ,นอนลง ไป และ ก็ เล่า ให้ ฉัน ฟัง สิ
ต้องทำอะไรให้เสร็จ,ต้องทำอะไรให้เสร็จ,ต้อง ทำ อะไร ให้ เสร็จ,ต้อง ทำ อะไร ให้ เสร็จ
เขากล่าวทักทายตอนเช้า,เขากล่าวทักทายตอนเช้า,เขา กล่าว ทักทาย ตอนเช้า,เขา กล่าว ทักทาย ตอนเช้า
กรุณาเสนอคะแนนและมุมมองของคุณ,กรุณาเสนอคะแนนมุมมองของคุณ,กรุณา เสนอ คะแนน มุมมอง ของ คุณ,กรุณา เสนอ คะแนน และ มุมมอง ของ คุณ
เขาพูดอย่างกังวลใจว่ามันแทบจะไม่เพียงพอ,ขอบคุณยังกังวลใจว่ามันแทบจะไม่เพียงพอ,ขอบคุณ ยัง กังวลใจ ว่า มัน แทบจะ ไม่ เพียงพอ,เขา พูด อย่าง กังวลใจ ว่า มัน แทบจะ ไม่ เพียงพอ
ความนับถือตนเองที่ต่ำของเธอน่าสงสาร,ความนับถือตนเองที่ต่ำของเธอสงสาร,ความนับถือ ตนเอง ที่ต่ำ ของ เธอ สงสาร,ความนับถือ ตนเอง ที่ต่ำ ของ เธอ น่าสงสาร
พวกเขาอยู่ในห้องรับประทานอาหารกำลังดื่มวิสกี้กับโซดา,พวกเขาอยู่ในห้องรับประทานอาหารกำลังดื่มวิสกี้กับโซดา,พวกเขา อยู่ ใน ห้อง รับประทาน อาหาร กำลัง ดื่ม วิสกี้ กับ โซดา,พวกเขา อยู่ ใน ห้อง รับประทาน อาหาร กำลัง ดื่ม วิสกี้ กับ โซดา
เขาตัดสินใจว่ามันไม่เพียงพอ,คนตัดสินใจว่ามันไม่เพียงพอ,คน ตัดสินใจ ว่า มัน ไม่ เพียงพอ,เขา ตัดสินใจ ว่า มัน ไม่ เพียงพอ
แสน็กแพดบนคีย์บอร์ดนี้ต้องได้รับการวัดระดับใหม่,แสดงแผลบนคีย์บอร์ดนี่ต้องได้รับการวัดระดับไหม,แสดง แผล บน คีย์บอร์ด นี่ ต้อง ได้รับ การ วัด ระดับ ไหม,แสน็ก แพ ดบน คีย์บอร์ด นี้ ต้อง ได้รับ การ วัด ระดับ ใหม่
ฉันมีแค่อย่างเดียวฉันสามารถมีได้เพียงแค่นั้น,ฉันมีแค่อย่างเดียวฉันสามารถมีได้เพียงแค่นั้น,ฉัน มี แค่ อย่าง เดียว ฉัน สามารถ มี ได้ เพียง แค่นั้น,ฉัน มี แค่ อย่าง เดียว ฉัน สามารถ มี ได้ เพียง แค่นั้น
