sentence,pred_sentence_tok
คุณมีจิตวิญญาณที่สวยงามและกล้าหาญ,คุณ มี จิตวิ ญาณ ที่ สวยงาม และ กล้าหาญ
ส่วนนี้ของเมืองเป็นที่อยู่อาศัยครึ่งอุตสาหกรรมครึ่ง,ส่วน นี้ ของ เมือง เป็น ที่อยู่อาศัย ครึ่ง บุตสาหกรรม ครึ่ง
ระบบเดิมที่ใช้ไม่ได้รับการปรับปรุงมาเป็นเวลานาน,ระบบ เดิม ที่ ใช้ ไม่ ได้รับ การปรับปรุง มา เป็นเวลานาน
โรงพยาบาลกำลังจ้างพยาบาล,โรงพยาบาล กำลัง จ้าง พยาบาล
ผู้หญิงคนนั้นคือใคร,ผู้หญิง คน นั้น คือ ใคร
หรือเขาจะถูกดึงดูดให้ทำลาย,หรือ เขา จะ ถูก ดึงดูด ให้ ทำลาย
ทั้งหมดคือในวันทำงาน,ทั้งหมด คือ ใน วันทำงาน
ใช่ หล่อนพูดพร้อมพยักหน้า คุณถูกทุกอย่าง,ใช่   หล่อน พูด พร้อม พยักหน้า   คุณ ถูก ทุกอย่าง
รอนมาสายในประชุม,รอน มาสาย ใน ประชุม
โปรดตอบคำถามที่เน้นด้วยเครื่องหมายดอกจัน,โปรด ตอบคำถาม ที่ แนั่น ด้วย เครื่องหมายดอกจัน
โอ้ ดูสิ พวกเขาเปิดแผงขายซูชิที่หัวมุมถนน,โอ้ ดู สิ   พวกเขา เปิด แผน ขาย ซูชิ ที่ หัว มุม ถนน
พวกเขามาถึงโรงแรมในเวลาไม่กี่นาที,พวกเขา มาถึง โรงแรม ใน เวลา ไม่ กี่ นาที
มีเห็ดที่เกิดขึ้นตามธรรมชาติหลายชนิด,มี เหดุ ที่ เกิดขึ้น ตาม ธรรมชาติ หลายชนิด
อย่าถามมูลค่าของขวัญที่คุณได้,อย่า ถาม มูลค่า ของขวัญ ที่ คุณ ได้
คืนนี้ต้องไปขึ้นเครื่องที่สนามบิน,คืนนี้ ต้อง ไป ขึ้น เครื่อง ที่ สนามบิน
ผมเรียนอยู่ที่มหาวิทยาลัยขอนแก่น,ผม เรียน อยู่ ที่ มหาวิทยาลัยขอนแก่น
คุณจะพาฉันไปหาเธอใช่หรือไม่,คุณ จะ พา ฉัน ไปหา เธอ ใช่ หรือไม่
มันจะเป็นอะไรไปได้อีก,มัน จะ เป็น อะไร ไป ได้ อีก
มันช่างเป็นคำแนะนำที่แสนโง่เขลาเหลือเกิน,มัน ช่าง เป็น คำแนะนำ ที่ แสน โง่เขลา เหลือเกิน
เราไปเยี่ยมชมธนาคารเมล็ดพันธุ์เมื่อสัปดาห์ที่แล้ว,เรา ไป เยี่ยมชม ธนาคาร เมล็ดพันธุ์ เมื่อ สัปดาห์ ที่แล้ว
เป็นความเชื่อและการกระทำที่ไม่ถูกต้อง,เป็น ความเชื่อ และ การ กระทำ ที่ ไม่ ถูกต้อง
